Artist,Album,Author,Date,Genre 1,Genre 2,Genre 3,Genre 4,Genre 5,Genre 6,Genre 7,Genre 8,Genre 9,Genre 10,Genre 11,Genre 12,Genre 13,Genre 14,Genre 15,Genre 16,Genre 17,Genre 18,Genre 19,Genre 20,Genre 21,Genre 22,Rating,DR Score,Label,Comments
In Mourning,The Bleeding Veil,TheKenWord,"November 27, 2021",Death Metal,Melodic Death Metal,Melodic Metal,Post-Metal,,,,,,,,,,,,,,,,,,,4,,Dalapop,14
Eternity's End,Embers of War,Holdeneye,"November 26, 2021",Heavy Metal,Power Metal,Speed Metal,,,,,,,,,,,,,,,,,,,,3.5,6,Prosthetic Records,24
Hypocrisy,Worship,Dr. A.N. Grier,"November 26, 2021",Melodic Death Metal,,,,,,,,,,,,,,,,,,,,,,2.5,8,Nuclear Blast,52
Cynic,Ascension Codes,Kronos,"November 26, 2021",Progressive Metal,,,,,,,,,,,,,,,,,,,,,,3,7,Season of Mist,28
1000 Bone Cylinder Explosion,Bind,Eldritch Elitist,"November 25, 2021",Black Metal,Power Metal,Progressive Metal,Thrash Metal,,,,,,,,,,,,,,,,,,,3.5,,Self-Released,25
Vertebra Atlantis,Lustral Purge in Cerulean Bliss,Dear Hollow,"November 24, 2021",Atmospheric Black Metal,Black Metal,Death Metal,,,,,,,,,,,,,,,,,,,,3.5,7,"I, Voidhanger Records",22
The Necromancers Union,Flesh of the Dead,GardensTale,"November 24, 2021",,,,,,,,,,,,,,,,,,,,,,,3,8,Petrichor Records,28
Concrete Winds,Nerve Butcherer,Nameless N00b_67,"November 23, 2021",Black Metal,Death Metal,,,,,,,,,,,,,,,,,,,,,3,7,Sepulchral Voice Records,45
Tower,Shock to the System,Steel Druhm,"November 23, 2021",Heavy Metal,Speed Metal,,,,,,,,,,,,,,,,,,,,,4,5,Cruz Del Sur Music,43
Lynx,Watcher of Skies,Huck N Roll,"November 23, 2021",Hard Rock,Heavy Metal,,,,,,,,,,,,,,,,,,,,,1.5,8,No Remorse Records,16
FireWolfe,Conquer All Fear,Holdeneye,"November 22, 2021",Heavy Metal,,,,,,,,,,,,,,,,,,,,,,3,9,Limb Music,41
Sun Below,Sun Below,L. Saunders,"November 22, 2021",Stoner Metal,Stoner Rock,,,,,,,,,,,,,,,,,,,,,2,5,Heavy Psych Sounds,8
Daupuz,Vom schwarzen Schmied,Doom_et_Al,"November 21, 2021",Black Metal,,,,,,,,,,,,,,,,,,,,,,3,10,Amor Fati Productions,7
The Temple,The Temple,Dear Hollow,"November 20, 2021",Black Metal,Death Metal,Doom Metal,,,,,,,,,,,,,,,,,,,,4,7,Profound Lore Records,41
Tales of Othertime,Stormkeep,Eldritch Elitist,"November 20, 2021",Melodic Black Metal,,,,,,,,,,,,,,,,,,,,,,4,8,Van Records,63
Exodus,Persona Non Grata,Steel Druhm,"November 19, 2021",Thrash Metal,,,,,,,,,,,,,,,,,,,,,,3,7,Nuclear Blast,123
Swallow the Sun,Moonflowers,Steel Druhm,"November 19, 2021",Death Metal,Doom Metal,,,,,,,,,,,,,,,,,,,,,3,6,Century Media,36
Aephanemer,A Dream of Wilderness,Dr. Wvrm,"November 19, 2021",Melodic Death Metal,,,,,,,,,,,,,,,,,,,,,,3.5,9,Napalm Records,101
Unmarked Boxes,Daxma,Carcharodon,"November 18, 2021",Ambient Metal,Post-Metal,,,,,,,,,,,,,,,,,,,,,3.5,7,Blues Funeral,14
Obscura,A Valediction,Angry Metal Guy,"November 18, 2021",Death Metal,Melodic Death Metal,Technical Death Metal,,,,,,,,,,,,,,,,,,,,4,9,Nuclear Blast,198
Apostle of Solitude,When the Darkness Goes,Huck N Roll,"November 18, 2021",Doom Metal,,,,,,,,,,,,,,,,,,,,,,3.5,8,Cruz Del Sur Music,33
Khemmis,Deceiver,Steel Druhm,"November 17, 2021",Doom Metal,Heavy Metal,,,,,,,,,,,,,,,,,,,,,3,6,Nuclear Blast,87
Der Weg einer Freiheit,Noktvrn,Eldritch Elitist,"November 17, 2021",Black Metal,,,,,,,,,,,,,,,,,,,,,,3,8,Season of Mist,29
Plebeian Grandstand,Rien ne suffit,Kronos,"November 16, 2021",Black Metal,Post-Metal,,,,,,,,,,,,,,,,,,,,,4.5,5,Debemur Morti Productions,119
200 Stab Wounds,Slave to the Scalpel,Felagund,"November 16, 2021",Death Metal,,,,,,,,,,,,,,,,,,,,,,2,,Maggot Stomp,48
W.E.B.,Colosseum,TheKenWord,"November 15, 2021",Black Metal,Death Metal,Symphonic Metal,,,,,,,,,,,,,,,,,,,,3.5,5,Metal Blade Records,22
Bryan Eckermann,Plague Bringers,Twelve,"November 15, 2021",,,,,,,,,,,,,,,,,,,,,,,3,5,Self-Released,13
Autokrator,Persecution,Dear Hollow,"November 14, 2021",Death Metal,Doom Metal,Noise,,,,,,,,,,,,,,,,,,,,3,5,Krucyator Productions,9
Astrophobos,Corpus,TheKenWord,"November 12, 2021",Black Metal,,,,,,,,,,,,,,,,,,,,,,2,7,Triumvirate Records,25
Misanthur,Ephemeris,Dear Hollow,"November 11, 2021",Black Metal,Doom Metal,Gothic Metal,Industrial Metal,Post-Metal,Progressive Metal,Shoegaze,,,,,,,,,,,,,,,,3,11,Season of Mist,9
Emma Ruth Rundle,Engine of Hell,GardensTale,"November 10, 2021",Ambient Metal,Not Metal,,,,,,,,,,,,,,,,,,,,,3.5,10,Sargent House,81
Fornhem,Stamman fran Berget,Doom_et_Al,"November 10, 2021",Black Metal,,,,,,,,,,,,,,,,,,,,,,2.5,8,Trollmusic,24
Black Soul Horde,Horrors from the Void,Steel Druhm,"November 9, 2021",Epic Metal,Heavy Metal,,,,,,,,,,,,,,,,,,,,,4,7,Vinyl Store,100
Gold Spire,Gold Spire,Carcharodon,"November 9, 2021",Post-Metal,,,,,,,,,,,,,,,,,,,,,,3,8,Chaos Records,33
Outre-Tombe,Abysse Mortifere,Diabolus in Muzaka,"November 8, 2021",Death Metal,,,,,,,,,,,,,,,,,,,,,,4,8,Temple of Mystery,47
Zaaar,Magicka Dzungl'a,Dear Hollow,"November 8, 2021",Drone,,,,,,,,,,,,,,,,,,,,,,2,10,"I, Voidhanger Records",38
Helheim,WoduridaR,Dr. A.N. Grier,"November 7, 2021",Black Metal,Viking Metal,,,,,,,,,,,,,,,,,,,,,3,11,Dark Essence Records,30
Holy Death,Separate Mind from Flesh,Cherd of Doom,"November 7, 2021",Death Metal,Doom Metal,Hardcore,Sludge,,,,,,,,,,,,,,,,,,,2.5,6,Seeing Red Records,8
Jointhugger,Surrounded by Vultures,GardensTale,"November 6, 2021",Doom Metal,Stoner Metal,,,,,,,,,,,,,,,,,,,,,2,5,Self-Released,35
Mortiferum,Preserved in Torment,Holdeneye,"November 5, 2021",Death Metal,Doom Metal,,,,,,,,,,,,,,,,,,,,,4,9,Profound Lore Records,63
Churchburn,Genocidal Rite,Grymm,"November 5, 2021",Doom Metal,,,,,,,,,,,,,,,,,,,,,,4,7,Translation Loss Records,29
Mystras,Empires Vanquished and Dismantled,Carcharodon,"November 5, 2021",Black Metal,Folk,,,,,,,,,,,,,,,,,,,,,4,10,"I, Voidhanger Records",61
Glassing,Twin Dream,Dear Hollow,"November 4, 2021",Black Metal,Doom Metal,Post-Hardcore,Post-Metal,Shoegaze,Sludge Metal,,,,,,,,,,,,,,,,,4,7,Brutal Panda Records,39
Diablo Swing Orchestra,Swagger & Stroll Down the Rabbit Hole,Twelve,"November 4, 2021",,,,,,,,,,,,,,,,,,,,,,,4.5,6,Spinefarm,187
Monolord,Your Time to Shine,Huck N Roll,"November 4, 2021",Doom Metal,Stoner Metal,,,,,,,,,,,,,,,,,,,,,3,7,Relapse Records,32
Omnium Gatherum,Origin,Steel Druhm,"November 3, 2021",Death Metal,Melodic Death Metal,,,,,,,,,,,,,,,,,,,,,2.5,7,Century Media,108
Be'lakor,Coherence,El Cuervo,"November 3, 2021",Melodic Death Metal,Progressive Metal,,,,,,,,,,,,,,,,,,,,,2.5,8,Napalm Records,66
First Fragment,Gloire Eternelle,Kronos,"November 2, 2021",Death Metal,Technical Death Metal,,,,,,,,,,,,,,,,,,,,,3.5,9,Unique Leader Records,128
Cognos,Cognos,GardensTale,"November 2, 2021",Progressive Metal,,,,,,,,,,,,,,,,,,,,,,2.5,10,Willowtip Records,12
The Design Abstract,Metemtechnosis,Twelve,"November 1, 2021",Melodic Death Metal,,,,,,,,,,,,,,,,,,,,,,3,7,Abstrakted Records,22
Burning Tongue,Prisoner's Cinema,Dear Hollow,"November 1, 2021",Death Metal,,,,,,,,,,,,,,,,,,,,,,2,6,Aqualamb Records,7
Black Sites,Untrue,Dr. A.N. Grier,"October 30, 2021",Heavy Metal,Progressive Metal,,,,,,,,,,,,,,,,,,,,,4.5,6,Self-Released,107
Running Wild,Blood on Blood,Steel Druhm,"October 29, 2021",Heavy Metal,,,,,,,,,,,,,,,,,,,,,,3,6,Steamhammer,27
Sunless,Ylem,L. Saunders,"October 29, 2021",Death Metal,Experimental Metal,Progressive Metal,,,,,,,,,,,,,,,,,,,,4,9,Willowtip Records,55
A Secret Revealed,When the Day Yearns for Light,Grymm,"October 29, 2021",Metalcore,Post-Metal,,,,,,,,,,,,,,,,,,,,,2,5,Lifeforce Records,22
Bizarre,Invocation Codex,Dear Hollow,"October 28, 2021",Death Metal,,,,,,,,,,,,,,,,,,,,,,3,8,Transcending Obscurity Records,23
Grand Cadaver,Into the Maw of Death,Steel Druhm,"October 28, 2021",Death Metal,,,,,,,,,,,,,,,,,,,,,,3,8,Majestic Mountain Records,30
Waking the Cadaver,Authority Through Intimidation,Diabolus in Muzaka,"October 28, 2021",Death Metal,Hardcore,Slam,,,,,,,,,,,,,,,,,,,,3.5,5,Unique Leader Records,34
Zornheym,The Zornheim Sleep Experiment,TheKenWord,"October 27, 2021",Black Metal,Death Metal,Melodic Black Metal,Melodic Death Metal,Symphonic Metal,,,,,,,,,,,,,,,,,,4,10,Noble Demon,35
Ember Sun,On Earth and Heaven,Grymm,"October 27, 2021",Funeral Doom,,,,,,,,,,,,,,,,,,,,,,1,6,Code666 Records,26
Archspire,Bleed the Future,Kronos,"October 26, 2021",Death Metal,Technical Death Metal,,,,,,,,,,,,,,,,,,,,,4.5,5,Season of Mist,196
Hex A.D.,Funeral Tango for Gods & Men,Doom_et_Al,"October 26, 2021",Doom Metal,,,,,,,,,,,,,,,,,,,,,,1.5,10,Fresh Tea,12
Deviant Process,Nurture,Felagund,"October 25, 2021",Death Metal,Technical Death Metal,,,,,,,,,,,,,,,,,,,,,2.5,12,Season of Mist,51
Massacre,Resurgence,Steel Druhm,"October 25, 2021",Death Metal,,,,,,,,,,,,,,,,,,,,,,3.5,14,Nuclear Blast,34
She Said Destroy,Succession,Emya,"October 25, 2021",Black Metal,Melodic Death Metal,,,,,,,,,,,,,,,,,,,,,2.5,7,Mas-Kina,22
Kolossus,K,Dr. A.N. Grier,"October 24, 2021",Black Metal,,,,,,,,,,,,,,,,,,,,,,3.5,8,My Kingdom Music,22
Knife,Knife,Felagund,"October 23, 2021",Black Metal,Heavy Metal,Speed Metal,,,,,,,,,,,,,,,,,,,,4,,Dying Victims Productions,45
The Breathing Process,Labyrinthian,Dear Hollow,"October 22, 2021",Black Metal,Deathcore,,,,,,,,,,,,,,,,,,,,,2,4,Unique Leader Records,12
Green Lung,Black Harvest,Carcharodon,"October 22, 2021",Hard Rock,Stoner Rock,,,,,,,,,,,,,,,,,,,,,4,6,Svart Records,43
Feed the Corpses to the Pigs,This Insidious Horror,L. Saunders,"October 22, 2021",Death Metal,,,,,,,,,,,,,,,,,,,,,,2.5,5,Horror Pain Gore Death Productions,29
Burning Point,Arsonist of the Soul,Steel Druhm,"October 21, 2021",Heavy Metal,Power Metal,,,,,,,,,,,,,,,,,,,,,3,8,AFM Records,20
1914,Where Fear and Weapons Meet,Holdeneye,"October 21, 2021",Black Metal,Death Metal,Doom Metal,,,,,,,,,,,,,,,,,,,,4.5,,Napalm Records,154
Conjureth,Majestic Dissolve,TheKenWord,"October 21, 2021",Death Metal,,,,,,,,,,,,,,,,,,,,,,3.5,6,Memento Mori,14
Worm,Foreverglade,Cherd of Doom,"October 20, 2021",Death Metal,Doom Metal,Funeral Doom,,,,,,,,,,,,,,,,,,,,4,5,20 Buck Spin,102
Order,The Gospel,Diabolus in Muzaka,"October 20, 2021",Black Metal,,,,,,,,,,,,,,,,,,,,,,3,7,Listenable Records,10
Osukaru,Starbound,El Cuervo,"October 19, 2021",Glam Metal,Hard Rock,,,,,,,,,,,,,,,,,,,,,3.5,8,AOR Heaven,40
Extreme Cold Winter,World Exit,GardensTale,"October 19, 2021",Death Metal,Doom Metal,,,,,,,,,,,,,,,,,,,,,3,7,Hammerheart Records,44
Feral Season,Rotting Body in the Range of Light,Twelve,"October 18, 2021",Black Metal,,,,,,,,,,,,,,,,,,,,,,3.5,6,Profound Lore Records,19
Skeletoon,The 1.21 Gigawatts Club,Holdeneye,"October 18, 2021",Power Metal,,,,,,,,,,,,,,,,,,,,,,3,8,Scarlet Records,40
Alda,A Distant Fire,Twelve,"October 17, 2021",Black Metal,Folk Metal,,,,,,,,,,,,,,,,,,,,,2.5,8,Eisenwald Records,30
Craneium,Unknown Heights,Steel Druhm,"October 15, 2021",Stoner Rock,,,,,,,,,,,,,,,,,,,,,,3,10,The Sign Records,16
Crystal Coffin,The Starway Eternal,Doom_et_Al,"October 15, 2021",Black Metal,Melodic Black Metal,,,,,,,,,,,,,,,,,,,,,3,6,A Beast in the Field,31
The Silver,Ward of Roses,L. Saunders,"October 14, 2021",Black Metal,Doom Metal,Post-Metal,Progressive Metal,,,,,,,,,,,,,,,,,,,4,8,Gilead Media,74
Muertissima,Inquisition,Steel Druhm,"October 14, 2021",Death Metal,,,,,,,,,,,,,,,,,,,,,,2,9,Music-Records,24
Atrae Bilis,Apexapien,TheKenWord,"October 13, 2021",Death Metal,Technical Death Metal,,,,,,,,,,,,,,,,,,,,,3,5,20 Buck Spin,34
Rothadas,Kopar hant…az alvilag fele,Holdeneye,"October 13, 2021",Death Metal,Doom Metal,,,,,,,,,,,,,,,,,,,,,2.5,6,Me Saco Un Ojo Records,25
Noltem,Illusions in the Wake,Carcharodon,"October 12, 2021",Melodic Black Metal,,,,,,,,,,,,,,,,,,,,,,4,8,Transcending Obscurity Records,76
Zetar,Devouring Darkness,TheKenWord,"October 12, 2021",Black Metal,Death Metal,,,,,,,,,,,,,,,,,,,,,2.5,7,Spirit Coffin Publishing,31
Franklin Zoo,The Dandelion Child,GardensTale,"October 11, 2021",Progressive Metal,,,,,,,,,,,,,,,,,,,,,,4,7,Self-Released,36
Siren's Rain,Rise Forth,Carcharodon,"October 11, 2021",Folk Metal,Heavy Metal,,,,,,,,,,,,,,,,,,,,,1.5,6,Self-Released,20
Kite,Currents,Cherd of Doom,"October 10, 2021",Noise,Post-Hardcore,Sludge,,,,,,,,,,,,,,,,,,,,3,7,Majestic Mountain Records,10
Trivium,In the Court of the Dragon,Dr. A.N. Grier,"October 9, 2021",Heavy Metal,Metalcore,,,,,,,,,,,,,,,,,,,,,3.5,,Roadrunner Records,171
Teramaze,And the Beauty They Perceive,Huck N Roll,"October 8, 2021",Progressive Metal,,,,,,,,,,,,,,,,,,,,,,3.5,9,Wells Music,52
Antichrist Siege Machine,Purifying Blade,Akerblogger,"October 8, 2021",Black Metal,Death Metal,,,,,,,,,,,,,,,,,,,,,2.5,8,Profound Lore Records,43
Manimal,Armageddon,Steel Druhm,"October 7, 2021",Heavy Metal,Power Metal,,,,,,,,,,,,,,,,,,,,,3,5,AFM Records,63
Paydretz,Chroniques de I'Insurrection,Grymm,"October 7, 2021",Black Metal,Folk Metal,,,,,,,,,,,,,,,,,,,,,3,9,Antiq Records,52
Norse,Ascetic,Kronos,"October 6, 2021",Black Metal,,,,,,,,,,,,,,,,,,,,,,3,6,Transcending Obscurity Records,35
Alkuharmonian Kantaja,Shadowy Peripherals,Twelve,"October 6, 2021",Black Metal,,,,,,,,,,,,,,,,,,,,,,2,9,"I, Voidhanger Records",14
NecroticGoreBeast,Human Deviance Galore,TheKenWord,"October 5, 2021",Death Metal,Slam,,,,,,,,,,,,,,,,,,,,,3.5,4,Comatose Music,39
Snares of Sixes,MoonBladder,Carcharodon,"October 5, 2021",Drone,,,,,,,,,,,,,,,,,,,,,,2.5,8,Nefarious Industries,31
Duel,In Carne Persona,Holdeneye,"October 4, 2021",Doom Metal,Hard Rock,Heavy Metal,Stoner Metal,,,,,,,,,,,,,,,,,,,4,8,Heavy Psych Sounds,58
Grab,Zeitlang,Doom_et_Al,"October 4, 2021",Black Metal,,,,,,,,,,,,,,,,,,,,,,3,10,Trollmusic,25
Ministry,Moral Hygiene,Dr. A.N. Grier,"October 3, 2021",Industrial Metal,,,,,,,,,,,,,,,,,,,,,,2.5,6,Nuclear Blast,43
